document,cluster_id,cluster_size
Tinton_Falls_School_District_AI_Policy.pdf,40,132
Township_Of_Union_Public_Schools_AI_Policy.pdf,40,132
Tuckerton_Borough_School_District_AI_Policy.pdf,40,132
Union_County_Educational_Services_Commission_AI_Policy.pdf,40,132
Union_County_Vocational_Technical_School_District_AI_Policy.pdf,40,132
Upper_Freehold_Regional_School_District_AI_Policy.pdf,40,132
Upper_Township_School_District_AI_Policy.pdf,40,132
Vernon_Township_School_District_AI_Policy.pdf,40,132
Voorhees_Township_School_District_AI_Policy.pdf,40,132
Wallington_Boro_School_District_AI_Policy.pdf,40,132
Wallkill_Valley_Regional_High_School_District_AI_Policy.pdf,40,132
Warren_County_Technical_School_District_AI_Policy.pdf,40,132
Washington_Borough_School_District_AI_Policy.pdf,40,132
Washington_Township_School_District_Warren_AI_Policy.pdf,40,132
Waterford_Township_School_District_AI_Policy.pdf,40,132
West_Milford_Township_Public_School_District_AI_Policy.pdf,40,132
West_Orange_Public_Schools_AI_Policy.pdf,40,132
Westwood_Regional_School_District_AI_Policy.pdf,40,132
Wharton_Borough_School_District_AI_Policy.pdf,40,132
Woodland_Township_Board_Of_Education_AI_Policy.pdf,40,132
Woodstown_Pilesgrove_Regional_School_District_AI_Policy.pdf,40,132
Andover_Regional_School_District_AI_Policy.pdf,13,93
Asbury_Park_School_District_AI_Policy.pdf,13,93
Atlantic_City_Public_Schools_AI_Policy.pdf,13,93
Audubon_Public_School_Disrict_AI_Policy.pdf,13,93
Barrington_School_District_AI_Policy.pdf,13,93
Bayshore_Jointure_Commission_AI_Policy.pdf,13,93
Bellmawr_Public_School_District_AI_Policy.pdf,13,93
Belvidere_School_District_AI_Policy.pdf,13,93
Bergen_County_Special_Services_School_District_AI_Policy.pdf,13,93
Berlin_Borough_School_District_AI_Policy.pdf,13,93
Bethlehem_Township_School_District_AI_Policy.pdf,13,93
Bradley_Beach_Elementary_School_District_AI_Policy.pdf,13,93
Brigantine_Public_Schools_AI_Policy.pdf,13,93
Caldwell_West_Caldwell_School_District_AI_Policy.pdf,13,93
Carlstadt_Public_School_District_AI_Policy.pdf,13,93
Central_Regional_School_District_AI_Policy.pdf,13,93
Clayton_Public_School_District_AI_Policy.pdf,13,93
Clementon_Elementary_School_District_AI_Policy.pdf,13,93
Cranbury_Township_School_District_AI_Policy.pdf,13,93
Delsea_Regional_High_School_District_AI_Policy.pdf,13,93
Dunellen_Public_School_District_AI_Policy.pdf,13,93
Eagleswood_Township_School_District_AI_Policy.pdf,13,93
East_Rutherford_School_District_AI_Policy.pdf,13,93
Eatontown_Public_School_District_AI_Policy.pdf,13,93
Ewing_Township_School_District_AI_Policy.pdf,13,93
Franklin_Lakes_School_District_AI_Policy.pdf,13,93
Frelinghuysen_Township_School_District_AI_Policy.pdf,13,93
Hackettstown_Public_School_District_AI_Policy.pdf,13,93
Haddon_Heights_School_District_AI_Policy.pdf,13,93
Haddonfield_School_District_AI_Policy.pdf,13,93
Hainesport_Township_School_District_AI_Policy.pdf,13,93
Hanover_Township_School_District_AI_Policy.pdf,13,93
Hardyston_Township_School_District_AI_Policy.pdf,13,93
Hasbrouck_Heights_School_District_AI_Policy.pdf,13,93
Hawthorne_Public_School_District_AI_Policy.pdf,13,93
High_Bridge_Borough_School_District_AI_Policy.pdf,13,93
Hunterdon_Central_Regional_High_School_District_AI_Policy.pdf,13,93
Jamesburg_Public_School_District_AI_Policy.pdf,13,93
Jefferson_Township_Public_School_District_AI_Policy.pdf,13,93
Kinnelon_School_District_AI_Policy.pdf,13,93
Lakewood_Township_School_District_AI_Policy.pdf,13,93
Lebanon_Borough_School_District_AI_Policy.pdf,13,93
Lincoln_Park_School_District_AI_Policy.pdf,13,93
Little_Ferry_Public_School_District_AI_Policy.pdf,13,93
Lodi_School_District_AI_Policy.pdf,13,93
Long_Branch_Public_School_District_AI_Policy.pdf,13,93
Lower_Cape_May_Regional_School_District_AI_Policy.pdf,13,93
Lyndhurst_School_District_AI_Policy.pdf,13,93
Magnolia_School_District_AI_Policy.pdf,13,93
Mansfield_Township_Elementary_School_District_AI_Policy.pdf,13,93
Mansfield_Township_School_District_AI_Policy.pdf,13,93
Margate_City_School_District_AI_Policy.pdf,13,93
Middlesex_Borough_School_District_AI_Policy.pdf,13,93
Middlesex_Regional_Educational_Services_Commission_AI_Policy.pdf,13,93
